category,term,course_name,credit,major_type,status,checker
MUST,,프로그래밍 기초,6,공학전공,이수예정,
MUST,,알고리즘 실습,3,공학전공,이수예정,
MUST,,자료구조,3,공학전공,이수예정,
MUST,,운영체제,3,공학전공,이수예정,
NORMAL,1-1,,0,전공기반,이수예정,
NORMAL,1-1,,0,공학전공,이수예정,
NORMAL,1-1,,0,교양,이수예정,
NORMAL,1-2,,0,전공기반,이수예정,
NORMAL,1-2,,0,공학전공,이수예정,
NORMAL,1-2,,0,교양,이수예정,
NORMAL,2-1,,0,전공기반,이수예정,
NORMAL,2-1,,0,공학전공,이수예정,
NORMAL,2-1,,0,교양,이수예정,
NORMAL,2-2,,0,전공기반,이수예정,
NORMAL,2-2,,0,공학전공,이수예정,
NORMAL,2-2,,0,교양,이수예정,
NORMAL,3-1,,0,전공기반,이수예정,
NORMAL,3-1,,0,공학전공,이수예정,
NORMAL,3-1,,0,교양,이수예정,
NORMAL,3-2,,0,전공기반,이수예정,
NORMAL,3-2,,0,공학전공,이수예정,
NORMAL,3-2,,0,교양,이수예정,
NORMAL,4-1,,0,전공기반,이수예정,
NORMAL,4-1,,0,공학전공,이수예정,
NORMAL,4-1,,0,교양,이수예정,
NORMAL,4-2,,0,전공기반,이수예정,
NORMAL,4-2,,0,공학전공,이수예정,
NORMAL,4-2,,0,교양,이수예정,
NORMAL,이수 계절,,0,전공기반,이수예정,
NORMAL,이수 계절,,0,공학전공,이수예정,
NORMAL,이수 계절,,0,교양,이수예정,
NORMAL,이수예정 계절,,0,전공기반,이수예정,
NORMAL,이수예정 계절,,0,공학전공,이수예정,
NORMAL,이수예정 계절,,0,교양,이수예정,
ETC,,Counsel,0,,,F
ETC,,English,0,,,F
ETC,,SDGs,0,,,F
ETC,,GraduationThesis,0,,,F
ETC,,GlobalCompetency,0,,,F
